zh,en
史東薇爾城,Stormveil Castle
候王禮拜堂,Chapel of Anticipation
王城羅德爾,"Leyndell, Royal Capital"
灰城羅德爾,"Leyndell, Ashen Capital"
圓桌廳堂,Roundtable Hold
安瑟爾河主流,Ainsel River Main
腐敗湖,Lake of Rot
安瑟爾河,Ainsel River
「永恆之城」諾克隆恩,"Nokron, Eternal City"
深根底層,Deeproot Depths
蒙格溫王朝,Mohgwyn Palace
希芙拉河,Siofra River
逐漸崩毀的法姆‧亞茲拉,Crumbling Farum Azula
魔法學院雷亞盧卡利亞,Academy of Raya Lucaria
「聖樹分枝」艾布雷菲爾,"Elphael, Brace of the Haligtree"
米凱拉的聖樹,Miquella's Haligtree
火山官邸,Volcano Manor
漂流墓地,Stranded Graveyard
邊境英雄墓地,Fringefolk Hero's Grave
石舞台,Stone Platform
靈廟原野地下墓地,Tombsward Catacombs
穿刺地下墓地,Impaler's Catacombs
風暴根腳的地下墓地,Stormfoot Catacombs
絕路地下墓地,Road's End Catacombs
濛流地下墓地,Murkwater Catacombs
黑刀地下墓地,Black Knife Catacombs
斷崖下的地下墓地,Cliffbottom Catacombs
威達姆地下墓地,Wyndham Catacombs
尊貴者的英雄墓地,Sainted Hero's Grave
格密爾英雄墓地,Gelmir Hero's Grave
亞雷薩英雄墓地,Auriza Hero's Grave
死亡降臨的地下墓地,Deathtouched Catacombs
醜惡地下墓地,Unsightly Catacombs
亞雷薩副墓地,Auriza Side Tomb
小黃金樹地下墓地,Minor Erdtree Catacombs
蓋利德地下墓地,Caelid Catacombs
英靈地下墓地,War-Dead Catacombs
巨人戰爭的英雄墓地,Giant-Conquering Hero's Grave
巨人山頂地下墓地,Giants' Mountaintop Catacombs
化聖雪原地下墓地,Consecrated Snowfield Catacombs
通往聖樹的密道,Hidden Path to the Haligtree
濛流洞窟,Murkwater Cave
垂穴洞窟,Earthbore Cave
靈廟原野洞窟,Tombsward Cave
近林洞窟,Groveside Cave
留水洞窟,Stillwater Cave
湖旁結晶洞窟,Lakeside Crystal Cave
學院結晶洞窟,Academy Crystal Cave
沸滾河洞窟,Seethewater Cave
火山洞窟,Volcano Cave
龍墓洞窟,Dragonbarrow Cave
瑟利亞隱藏洞窟,Sellia Hideaway
安身洞窟,Cave of the Forlorn
海岸洞窟,Coastal Cave
大道下的洞窟,Highroad Cave
調香師的隱藏洞窟,Perfumer's Grotto
賢者的洞窟,Sage's Cave
廢棄洞窟,Abandoned Cave
牢獄洞窟,Gaol Cave
喚靈洞窟,Spiritcaller Cave
摩恩坑道,Morne Tunnel
寧姆格福坑道,Limgrave Tunnels
雷亞盧卡利亞結晶坑道,Raya Lucaria Crystal Tunnel
舊亞壇坑道,Old Altus Tunnel
亞壇坑道,Altus Tunnel
蓋爾坑道,Gael Tunnel
瑟利亞結晶坑道,Sellia Crystal Tunnel
