zh,en
求援書,Petition for Help
狩獵崩指契約書,Broken Finger Stalker Contract
紅琥珀鍊墜,Crimson Amber Medallion
藍琥珀鍊墜,Cerulean Amber Medallion
綠琥珀鍊墜,Viridian Amber Medallion
眾武護符,Arsenal Charm
大壺眾武護符,Great-Jar's Arsenal
黃金樹的恩惠,Erdtree's Favor
拉達岡的烙印,Radagon's Scarseal
拉達岡的糜爛烙印,Radagon's Soreseal
碎星的傳說,Starscourge Heirloom
義手劍士的傳說,Prosthesis-Wearer Heirloom
觀星少女的傳說,Stargazer Heirloom
雙指的傳說,Two Fingers Heirloom
銀色糞金龜,Silver Scarab
金色糞金龜,Gold Scarab
諾克史黛拉之月,Moon of Nokstella
綠龜護符,Green Turtle Talisman
健壯角飾品,Stalwart Horn Charm
免疫角飾品,Immunizing Horn Charm
理智角飾品,Clarifying Horn Charm
死王子的膿瘡,Prince of Death's Pustule
死王子的惡性膿瘡,Prince of Death's Cyst
斑斕項鍊,Mottled Necklace
大山羊護符,Bull-Goat's Talisman
瑪莉卡的烙印,Marika's Scarseal
瑪莉卡的糜爛烙印,Marika's Soreseal
戰士壺碎片,Warrior Jar Shard
亞歷山大的碎片,Shard of Alexander
米莉森的義手,Millicent's Prosthesis
魔力對蠍,Magic Scorpion Charm
雷對蠍,Lightning Scorpion Charm
火對蠍,Fire Scorpion Charm
聖對蠍,Sacred Scorpion Charm
紅羽七刃劍,Red-Feathered Branchsword
獻鬥劍護符,Ritual Sword Talisman
矛護符,Spear Talisman
大槌護符,Hammer Talisman
帶翼劍徽章,Winged Sword Insignia
腐敗翼劍徽章,Rotten Winged Sword Insignia
短劍護符,Dagger Talisman
遠箭護符,Arrow's Reach Talisman
藍色舞孃,Blue Dancer Charm
雙頭劍護符,Twinblade Talisman
斧護符,Axe Talisman
騎槍護符,Lance Talisman
硬箭護符,Arrow's Sting Talisman
鮮血君王的歡愉,Lord of Blood's Exultation
腐敗眷屬的歡愉,Kindred of Rot's Exultation
鉤爪護符,Claw Talisman
咆哮鍊墜,Roar Medallion
曲劍護符,Curved Sword Talisman
友好壺,Companion Jar
調香師護符,Perfumer's Talisman
魔法師球護符,Graven-School Talisman
魔法師塊護符,Graven-Mass Talisman
信徒的立誓布,Faithful's Canvas Talisman
群聚信徒的立誓布,Flock's Canvas Talisman
古王護符,Old Lord's Talisman
拉達岡的肖像,Radagon Icon
源輝石刀,Primal Glintstone Blade
葛孚雷的肖像,Godfrey Icon
龍徽盾護符,Dragoncrest Shield Talisman
龍徽大盾護符,Dragoncrest Greatshield Talisman
魔力龍徽護符,Spelldrake Talisman
火龍徽護符,Flamedrake Talisman
雷龍徽護符,Boltdrake Talisman
聖龍徽護符,Haligdrake Talisman
珍珠龍徽護符,Pearldrake Talisman
熔爐鱗護符,Crucible Scale Talisman
熔爐羽護符,Crucible Feather Talisman
藍羽七刃劍,Blue-Feathered Branchsword
獻鬥盾護符,Ritual Shield Talisman
大盾護符,Greatshield Talisman
熔爐瘤護符,Crucible Knot Talisman
紅種子護符,Crimson Seed Talisman
藍種子護符,Cerulean Seed Talisman
恩惠露滴護符,Blessed Dew Talisman
掠奪浮雕墜飾,Taker's Cameo
神皮襁褓,Godskin Swaddling Cloth
染紅凶刀,Assassin's Crimson Dagger
染藍凶刀,Assassin's Cerulean Dagger
克雷普的小瓶子,Crepus's Vial
隱身面紗,Concealing Veil
卡利亞徽章,Carian Filigreed Crest
長尾貓別針,Longtail Cat Talisman
夏玻利利之禍,Shabriri's Woe
狄蒂卡之禍,Daedicar's Woe
犧牲細枝,Sacrificial Twig
勾指偽裝鏡,Furled Finger's Trick-Mirror
主人偽裝鏡,Host's Trick-Mirror
糾纏臍帶,Entwining Umbilical Cord
祖靈角,Ancestral Spirit's Horn
