zh,en
梅琳娜,Melina
「解指」恩雅,Finger Reader Enia
雙指,The Two Fingers
魔女菈妮,Ranni the Witch
魔女蕾娜,Renna the Witch
「起源魔法師」盧瑟特,Primeval Sorcerer Lusat
「起源魔法師」亞茲勒,Primeval Sorcerer Azur
金面具,The Noble Goldmask
「滿月女王」蕾娜菈,"Rennala, Queen of the Full Moon"
「野獸祭司」古蘭格,"Gurranq, Beast Clergyman"
鐵匠修古,Smithing Master Hewg
「半狼」布萊澤,Blaidd the Half-Wolf
災厄影子,Baleful Shadow
僕人畢迪,"Pidia, Carian Servant"
「銀色淚滴」阿史米,"Asimi, Silver Tear"
「永恆之王」阿史米,"Asimi, Eternal King"
艾爾帕斯,Old Albus
「戰士壺」亞歷山大,"Alexander, Warrior Jar"
亞人柏克,Demi-Human Boc
裁縫師柏克,Boc the Seamster
鐵匠伊吉,Smithing Master Iji
軍師伊吉,War Counselor Iji
小壺,Jar-Bairn
白金之子勒緹娜,Latenna the Albinauric
塔妮絲的騎士,Tanith's Knight
「龐大妹妹」菲莉亞,"Phillia, Towering Little Sister"
「火山官邸之主」塔妮絲,"Tanith, Volcano Manor Proprietress"
「白面具」梵雷,White Mask Varré
門衛葛托克,Gatekeeper Gostoc
「燒灼指痕」維克,Festering Fingerprint Vyke
「圓桌騎士」維克,Roundtable Knight Vyke
魔法教授賽爾維斯,Preceptor Seluvis
帕奇,Patches
摩恩的伊蕾娜,Irina of Morne
「探尋燈火」海妲,Lightseeker Hyetta
女巫海妲,Finger Maiden Hyetta
城主艾德格,Castellan Edgar
「復仇者」艾德格,Edgar the Revenger
城主傑廉,Castellan Jerren
「魔女獵人」傑廉,Witch-Hunter Jerren
「招募者」菈雅,Rya the Scout
「招募者」澤菈雅絲,Zorayas the Scout
騎士狄亞羅斯,Knight Diallos
維壺師狄亞羅斯,Potentate Diallos
魔法師瑟濂,Sorceress Sellen
「血指獵人」尤拉,"Yura, Hunter of Bloody Fingers"
夏玻利利,Shabriri
「狩獵死亡」Ｄ,"D, Hunter of the Dead"
「覲見死亡」Ｄ,"D, Beholder of Death"
頹喪的女性,Heartbroken Maiden
羅德莉卡,Roderika
調靈師羅德莉卡,"Roderika, Spirit Tuner"
「領主的嫡長子」肯尼斯‧海德,"Kenneth Haight, Limgrave Heir"
「死眠少女」菲雅,"Fia, Deathbed Companion"
食糞者,Dung Eater
「百智爵士」基甸‧奧夫尼爾,"Sir Gideon Ofnir, the All-Knowing"
魔法師羅傑爾,Sorcerer Rogier
騎士貝納爾,Knight Bernahl
「叛律者」貝納爾,Recusant Bernahl
「純紫血指」艾琉諾拉,"Eleonora, Violet Bloody Finger"
「無畏」萊恩尼爾,Lionel the Lionhearted
「結緣牧師」米利耶,"Miriel, Pastor of Vows"
流氓,Blackguard
魔法師托普斯,Sorcerer Thops
戰士涅斐麗‧露,"Nepheli Loux, Warrior"
「酒味」里可,Reeling Rico
維克的指頭女巫,Vyke's Finger Maiden
指頭女巫,Finger Maiden
「王骸」恩夏,Ensha of the Royal Remains
「血指」鴉山的殺手,Bloody Finger Ravenmount Assassin
「血指」涅利烏斯,Bloody Finger Nerijus
鮮血貴族,Sanguine Noble
「大角」忒拉格斯,Great Horned Tragoth
「古老騎士」伊修托邦,Old Knight Istvan
「黃昏將盡」萊利,Rileigh the Idle
「血言騎士」尤諾‧霍斯勞,"Juno Hoslow, Knight of Blood"
米莉森,Millicent
賢者格威,Sage Gowry
聖職人員柯林,Brother Corhyn
記錄者柯林,Scribe Corhyn
魔法教授米麗安,Preceptor Miriam
「吞噬褪色者」安娜塔西亞,"Anastasia, Tarnished-Eater"
老翁,Okina
「血指」老翁,Bloody Finger Okina
「盜火」亞當,"Adan, Thief of Fire"
「卡利亞騎士」穆格拉姆,"Moongrum, Carian Knight"
「白狼戰鬼」巴格萊姆,Vargram the Raging Wolf
菲雅的英雄,Fia's Champion
指頭女巫瑟蘿莉娜,Finger Maiden Therolina
「深眠之箭」朵羅雷絲,Dolores the Sleeping Arrow
壺男,Jarwight
「老翁的高徒」稻葉眾,"Inaba, Disciple of Okina"
銀色淚滴,Silver Tear
「叛律者」亨利克斯,Recusant Henricus
「日蔭城主」瑪雷瑪雷,"Maleigh Marais, Shaded Castle Castellan"
大壺騎士,Knight of the Great Jar
死術師哥瑞斯,Necromancer Garris
無名白面具,Nameless White Mask
「離群魔法師」維赫勒,Errant Sorcerer Wilhelm
「監視者之首」亞岡提,Chief Guardian Arghanthy
火焰監視者,Flame Guardian
拷問官基薩,Inquisitor Ghiza
「發狂之舌」阿爾佩利希,Mad Tongue Alberich
「鮮血祭司」艾斯加,"Esgar, Priest of Blood"
大姊瑪莉,"Mary, Eldest Sister"
二姊茉莉,"Maureen, Second Sister"
三姊艾蜜,"Amy, Third Sister"
么妹波莉安娜,"Polyanna, Youngest Sister"
養女波莉安娜,"Polyanna, Adopted Daughter"
孿生老嫗,Twin Maiden Husks
龍饗教堂,Church of Dragon Communion
鍛造台,Smithing Table
漫步靈廟的屍體,Walking Mausoleum Corpse
贖罪水池,Basin of Atonement
龍饗大教堂,Cathedral of Dragon Communion
瀕毀瑪莉卡,Fractured Marika
霧鏡化妝台,Clouded Mirror Stand
貝納爾的劍,Sword of Bernahl
解指老嫗,Finger Reader Crone
看守禁域的老嫗,Keeper of Forbidden Lands
葛德文的乳母,Godwyn's Wet Nurse
「流浪商人」咖列,Merchant Kalé
流浪民族的商人,Nomadic Merchant
隱居商人,Isolated Merchant
遁世商人,Hermit Merchant
見棄商人,Abandoned Merchant
受囚商人,Imprisoned Merchant
未曾謀面的人物,Someone Yet Unseen
「龍槍」維克,Vyke the Dragonspear
黑刀刺客,Black Knife Assassin
「黑刀之首」亞勒托,"Alecto, Black Knife Ringleader"
野獸祭司,Beast Clergyman
「黑劍」瑪利喀斯,"Maliketh, the Black Blade"
「米凱拉的鋒刃」瑪蓮妮亞,"Malenia, Blade of Miquella"
「腐敗女神」瑪蓮妮亞,"Malenia, Goddess of Rot"
「惡兆妖鬼」瑪爾基特,"Margit, the Fell Omen"
「惡兆王」蒙葛特,"Morgott, the Omen King"
惡兆孿生子,Fell Twin
「黃金律法」拉達岡,Radagon of the Golden Order
艾爾登之獸,Elden Beast
「熔爐騎士」奧陶琵斯,Crucible Knight Ordovis
熔爐騎士,Crucible Knight
「熔爐騎士」志留亞,Crucible Knight Siluria
老將尼奧,Commander Niall
老將歐尼爾,Commander O'Neil
「鐵棘」艾隆梅爾,Elemer of the Briar
鈴珠獵人,Bell Bearing Hunter
黑夜騎兵,Night's Cavalry
黑夜騎兵（劍刃戟）,Night's Cavalry (Glaive)
黑夜騎兵（連枷）,Night's Cavalry (Flail)
拉達岡的紅狼,Red Wolf of Radagon
