zh,en
頭部,Head
身體,Body
腕部,Arms
腿部,Legs
鐵頭盔,Iron Helmet
鱗甲,Scale Armor
鐵臂甲,Iron Gauntlets
皮革長褲,Leather Trousers
凱丹頭盔,Kaiden Helm
凱丹鎧甲,Kaiden Armor
凱丹臂甲,Kaiden Gauntlets
凱丹長褲,Kaiden Trousers
龍騎士頭盔,Drake Knight Helm
龍騎士鎧甲,Drake Knight Armor
龍騎士臂甲,Drake Knight Gauntlets
龍騎士腿甲,Drake Knight Greaves
龍騎士頭盔（輕裝）,Drake Knight Helm (Altered)
龍騎士鎧甲（輕裝）,Drake Knight Armor (Altered)
鱗片頭盔,Scaled Helm
鱗片鎧甲,Scaled Armor
鱗片臂甲,Scaled Gauntlets
鱗片腿甲,Scaled Greaves
鱗片鎧甲（輕裝）,Scaled Armor (Altered)
調香師風帽,Perfumer Hood
調香師長袍,Perfumer Robe
調香師手套,Perfumer Gloves
調香師腰巾,Perfumer Sarong
調香師長袍（輕裝）,Perfumer Robe (Altered)
旅行帽子,Traveler's Hat
調香師旅行裝,Perfumer's Traveling Garb
旅行手套,Traveler's Gloves
旅行長褲,Traveler's Slops
調香師旅行裝（輕裝）,Perfumer's Traveling Garb (Altered)
阿爾佩利希尖帽,Alberich's Pointed Hat
阿爾佩利希上衣,Alberich's Robe
阿爾佩利希臂甲,Alberich's Bracers
阿爾佩利希長褲,Alberich's Trousers
阿爾佩利希尖帽（輕裝）,Alberich's Pointed Hat (Altered)
阿爾佩利希上衣（輕裝）,Alberich's Robe (Altered)
魔法劍士尖帽,Spellblade's Pointed Hat
魔法劍士旅行裝,Spellblade's Traveling Attire
魔法劍士手套,Spellblade's Gloves
魔法劍士長褲,Spellblade's Trousers
魔法劍士旅行裝（輕裝）,Spellblade's Traveling Attire (Altered)
大山羊頭盔,Bull-Goat Helm
大山羊鎧甲,Bull-Goat Armor
大山羊臂甲,Bull-Goat Gauntlets
大山羊腿甲,Bull-Goat Greaves
鐵笠帽,Iron Kasa
浪人鎧甲,Ronin's Armor
浪人臂甲,Ronin's Gauntlets
浪人腿甲,Ronin's Greaves
浪人鎧甲（輕裝）,Ronin's Armor (Altered)
罪人風帽,Guilty Hood
布質上衣,Cloth Garb
布質長褲,Cloth Trousers
黑狼面具,Black Wolf Mask
布萊澤鎧甲,Blaidd's Armor
布萊澤臂甲,Blaidd's Gauntlets
布萊澤腿甲,Blaidd's Greaves
布萊澤鎧甲（輕裝）,Blaidd's Armor (Altered)
黑刀風帽,Black Knife Hood
黑刀鎧甲,Black Knife Armor
黑刀臂甲,Black Knife Gauntlets
黑刀腿甲,Black Knife Greaves
黑刀鎧甲（輕裝）,Black Knife Armor (Altered)
流刑士兵風帽,Exile Hood
流刑士兵鎧甲,Exile Armor
流刑士兵臂甲,Exile Gauntlets
流刑士兵腿甲,Exile Greaves
失鄉騎士頭盔,Banished Knight Helm
失鄉騎士鎧甲,Banished Knight Armor
失鄉騎士臂甲,Banished Knight Gauntlets
失鄉騎士腿甲,Banished Knight Greaves
失鄉騎士頭盔（輕裝）,Banished Knight Helm (Altered)
失鄉騎士鎧甲（輕裝）,Banished Knight Armor (Altered)
鐵棘頭盔,Briar Helm
鐵棘鎧甲,Briar Armor
鐵棘臂甲,Briar Gauntlets
鐵棘腿甲,Briar Greaves
鐵棘鎧甲（輕裝）,Briar Armor (Altered)
隨從風帽,Page Hood
隨從上衣,Page Garb
隨從長褲,Page Trousers
隨從上衣（輕裝）,Page Garb (Altered)
黑夜騎兵頭盔,Night's Cavalry Helm
黑夜騎兵鎧甲,Night's Cavalry Armor
黑夜騎兵臂甲,Night's Cavalry Gauntlets
黑夜騎兵腿甲,Night's Cavalry Greaves
黑夜騎兵頭盔（輕裝）,Night's Cavalry Helm (Altered)
黑夜騎兵鎧甲（輕裝）,Night's Cavalry Armor (Altered)
蒼銀風帽,Blue Silver Mail Hood
蒼銀鎧甲,Blue Silver Mail Armor
蒼銀手環,Blue Silver Bracelets
蒼銀長裙,Blue Silver Mail Skirt
蒼銀鎧甲（輕裝）,Blue Silver Mail Armor (Altered)
流浪商人帽子,Nomadic Merchant's Chapeau
流浪商人上衣,Nomadic Merchant's Finery
流浪商人長褲,Nomadic Merchant's Trousers
流浪商人上衣（輕裝）,Nomadic Merchant's Finery (Altered)
異形龍盔,Malformed Dragon Helm
異形龍鎧,Malformed Dragon Armor
異形龍臂甲,Malformed Dragon Gauntlets
異形龍腿甲,Malformed Dragon Greaves
大樹守衛頭盔,Tree Sentinel Helm
大樹守衛鎧甲,Tree Sentinel Armor
大樹守衛臂甲,Tree Sentinel Gauntlets
大樹守衛腿甲,Tree Sentinel Greaves
大樹守衛鎧甲（輕裝）,Tree Sentinel Armor (Altered)
禁衛騎士頭盔,Royal Knight Helm
禁衛騎士鎧甲,Royal Knight Armor
禁衛騎士臂甲,Royal Knight Gauntlets
禁衛騎士腿甲,Royal Knight Greaves
禁衛騎士鎧甲（輕裝）,Royal Knight Armor (Altered)
諾克斯修士風帽,Nox Monk Hood
諾克斯修士鎧甲,Nox Monk Armor
諾克斯修士手環,Nox Monk Bracelets
諾克斯修士腿甲,Nox Monk Greaves
諾克斯修士風帽（輕裝）,Nox Monk Hood (Altered)
諾克斯修士鎧甲（輕裝）,Nox Monk Armor (Altered)
諾克斯劍士頭冠,Nox Swordstress Crown
諾克斯劍士鎧甲,Nox Swordstress Armor
黑夜女巫雙生冠,Night Maiden Twin Crown
黑夜女巫鎧甲,Night Maiden Armor
諾克斯劍士頭冠（輕裝）,Nox Swordstress Crown (Altered)
諾克斯劍士鎧甲（輕裝）,Nox Swordstress Armor (Altered)
