zh,en
燃火,Catch Flame
火焰啊！,"O, Flame!"
投火,Flame Sling
火焰啊，傾注吧,"Flame, Fall Upon Them"
火焰啊，纏繞吧,"Whirl, O Flame!"
火焰的療癒啊,"Flame, Cleanse Me"
火焰啊，賜予我力量！,"Flame, Grant Me Strength"
火焰的庇祐啊,"Flame, Protect Me"
感受巨人火焰吧,Giantsflame Take Thee
惡神火焰,Flame of the Fell God
火焰啊，吞噬一切！,"Burn, O Flame!"
黑焰,Black Flame
火焰啊，噴發吧,"Surge, O Flame!"
橫掃黑焰,Scouring Black Flame
黑焰儀式,Black Flame Ritual
黑焰刀刃,Black Flame Blade
黑焰庇佑,Black Flame's Protection
貴族氣場,Noble Presence
血焰爪痕,Bloodflame Talons
授血,Bloodboon
血焰刀刃,Bloodflame Blade
黃金魔力防護,Barrier of Gold
黃金樹庇佑,Protection of the Erdtree
拒絕,Rejection
黃金之怒,Wrath of Gold
緊急恢復,Urgent Heal
恢復,Heal
大恢復,Great Heal
王之恢復,Lord's Heal
黃金樹恢復,Erdtree Heal
恩惠賜福,Blessing's Boon
黃金樹恩惠,Blessing of the Erdtree
療癒毒性,Cure Poison
王之療癒,Lord's Aid
火防護,Flame Fortification
魔力防護,Magic Fortification
雷防護,Lightning Fortification
聖防護,Divine Fortification
王之聖防護,Lord's Divine Fortification
黑夜女巫煙霧,Night Maiden's Mist
刺客步法,Assassin's Approach
誘敵幻影,Shadow Bait
黑暗,Darkness
黃金樹立誓,Golden Vow
光環,Discus of Light
化三光環,Triple Rings of Light
拉達岡的光環,Radagon's Rings of Light
艾爾登流星,Elden Stars
回歸性原理,Law of Regression
不變盾牌,Immutable Shield
糾死聖律,Litany of Proper Death
因果性原理,Law of Causality
聖律劍刃,Order's Blade
聖律療癒,Order Healing
獸石,Bestial Sling
古蘭格的岩石,Stone of Gurranq
獸爪,Beast Claw
古蘭格的獸爪,Gurranq's Beast Claw
野獸活力,Bestial Vitality
野獸健壯,Bestial Constitution
雷電槍,Lightning Spear
古龍雷擊,Ancient Dragons' Lightning Strike
雷擊,Lightning Strike
冰雷槍,Frozen Lightning Spear
精準雷擊,Honed Bolt
古龍雷槍,Ancient Dragons' Lightning Spear
弗爾桑克斯的雷槍,Fortissax's Lightning Spear
蘭斯桑克斯的薙刀,Lansseax's Glaive
雷武器,Electrify Armament
維克的龍雷,Vyke's Dragonbolt
龍雷庇佑,Dragonbolt Blessing
龍焰,Dragonfire
亞基爾的火焰,Agheel's Flame
熔岩吐息,Magma Breath
席歐朵利克的熔岩,Theodorix's Magma
龍冰,Dragonice
玻列琉斯的冰霧,Borealis's Mist
腐敗吐息,Rotten Breath
艾格基斯的腐敗,Ekzykes's Decay
輝石吐息,Glintstone Breath
史瑪拉格的輝石,Smarag's Glintstone Breath
普拉頓桑克斯的凋亡,Placidusax's Ruin
龍爪,Dragonclaw
龍咬,Dragonmaw
桂奧爾的咆哮,Greyoll's Roar
蟲絲,Pest Threads
蠅群,Swarm of Flies
毒霧,Poison Mist
毒刃,Poison Armament
猩紅艾奧尼亞,Scarlet Aeonia
發狂擴散,Inescapable Frenzy
癲火,The Flame of Frenzy
難耐癲火,Unendurable Frenzy
劃空癲火,Frenzied Burst
夏玻利利的嘶吼,Howl of Shabriri
熔爐百相之尾,Aspects of the Crucible: Tail
熔爐百相之角,Aspects of the Crucible: Horns
熔爐百相之喉囊,Aspects of the Crucible: Breath
黑劍,Black Blade
火焰重罪,Fire's Deadly Sin
黃金雷防護,Golden Lightning Fortification
