zh,en
輝石魔礫,Glintstone Pebble
輝石大魔礫,Great Glintstone Shard
輝石迅魔礫,Swift Glintstone Shard
輝石彗星,Glintstone Cometshard
帚星,Comet
旋飛魔礫,Shard Spiral
輝石流星,Glintstone Stars
流星雨,Star Shower
結晶連彈,Crystal Barrage
輝石彎弧,Glintstone Arc
海摩砲彈,Cannon of Haima
結晶散射,Crystal Burst
爆碎岩盤,Shatter Earth
爆破岩盤,Rock Blaster
海摩大槌,Gavel of Haima
魔法之境,Terra Magica
星光,Starlight
彗星亞茲勒,Comet Azur
創星雨,Founding Rain of Stars
毀滅流星,Stars of Ruin
輝劍圓陣,Glintblade Phalanx
卡利亞圓陣,Carian Phalanx
巨劍陣,Greatblade Phalanx
蕾娜菈的滿月,Rennala's Full Moon
菈妮的暗月,Ranni's Dark Moon
天降魔力,Magic Downpour
羅蕾塔的大弓,Loretta's Greatbow
羅蕾塔的絕招,Loretta's Mastery
魔法輝劍,Magic Glintblade
輝石冰塊,Glintstone Icecrag
薩米爾冰風暴,Zamor Ice Storm
冰霧,Freezing Mist
卡利亞大劍,Carian Greatsword
亞杜拉的月光劍,Adula's Moonblade
卡利亞迅劍,Carian Slicer
卡利亞貫刺,Carian Piercer
魔力武器,Scholar's Armament
魔力盾牌,Scholar's Shield
鎮定,Lucidity
結冰武器,Frozen Armament
爆散結晶,Shattering Crystal
飛散結晶,Crystal Release
奔放結晶,Crystal Torrent
奇襲魔礫,Ambush Shard
黑夜魔礫,Night Shard
黑夜彗星,Night Comet
托普斯的力場,Thops's Barrier
卡利亞式奉還,Carian Retaliation
亙古黑暗,Eternal Darkness
無形刀刃,Unseen Blade
化為無形,Unseen Form
隕石,Meteorite
艾絲緹隕石,Meteorite of Astel
岩石球,Rock Sling
重力球,Gravity Well
碎星,Collapsing Stars
熔岩球,Magma Shot
格密爾之怒,Gelmir's Fury
滾燙熔岩,Roiling Magma
拉卡德的怨魂,Rykard's Rancor
罪惡荊棘,Briars of Sin
責罰荊棘,Briars of Punishment
召喚怨魂,Rancorcall
古老死亡怨魂,Ancient Death Rancor
迸發靈火,Explosive Ghostflame
菲雅煙霧,Fia's Mist
提比亞的喚聲,Tibia's Summons
死亡雷擊,Death Lightning
神諭泡泡,Oracle Bubbles
神諭大泡泡,Great Oracular Bubble
